Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,12,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115
Dust/ Bụi,,,Jan,,,,,,,,,Feb,,,,,,,,,Mar,,,,,,,,,Apr,,,,,,,,,May,,,,,,,,,Jun,,,,,,,,,Jul,,,,,,,,,Aug,,,,,,,,,Sep,,,,,,,,,Oct,,,,,,,,,Nov,,,,,,,,,Dec,,,,,,,,, YTD,Q1, Q2,Q3,Q4
Stack No.,Process,Diameter/ Đường kính ống khói,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate/ Lưu lượng,"Dust Emission
Actual O2/ Kết quả đo bụi","Dust Emission 
rate/ Tỉ lệ bụi","Operation 
Hour/ Thời gian hoạt động",Dust Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"Dust Emission
Actual O2  ","Dust Emission 
rate","Operation 
Hour",Dust Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"Dust Emission
Actual O2  ","Dust Emission 
rate","Operation 
Hour",Dust Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"Dust Emission
Actual O2  ","Dust Emission 
rate","Operation 
Hour",Dust Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"Dust Emission
Actual O2  ","Dust Emission 
rate","Operation 
Hour",Dust Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"Dust Emission
Actual O2  ","Dust Emission 
rate","Operation 
Hour",Dust Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"Dust Emission
Actual O2  ","Dust Emission 
rate","Operation 
Hour",Dust Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"Dust Emission
Actual O2  ","Dust Emission 
rate","Operation 
Hour",Dust Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"Dust Emission
Actual O2  ","Dust Emission 
rate","Operation 
Hour",Dust Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"Dust Emission
Actual O2  ","Dust Emission 
rate","Operation 
Hour",Dust Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"Dust Emission
Actual O2  ","Dust Emission 
rate","Operation 
Hour",Dust Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"Dust Emission
Actual O2  ","Dust Emission 
rate","Operation 
Hour",Dust Emission,,,,,
,,m,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,,,,,
Sấy phun 1,,1.3,2/12/2019,84.3,,,1416.6666666666667,41,3.485,452,1575.22,2/12/2019,84.3,,,1416.6666666666667,41,3.485,0,0,2/12/2019,84.3,,,1416.6666666666667,41,3.485,593,2066.605,3/4/2020,82.3,,,1416.6666666666667,52.5,4.4625,671,2994.3375,3/4/2020,82.3,,,1416.6666666666667,52.5,4.4625,689,3074.6625000000004,8/6/2020,95.5,,,1416.6666666666667,42.6,3.6210000000000004,673,2436.9330000000004,8/6/2020,95.5,,,1416.6666666666667,42.6,3.6210000000000004,714,2585.3940000000002,8/6/2020,95.5,,,1416.6666666666667,42.6,3.6210000000000004,637,2306.577,8/6/2020,95.5,,,1416.6666666666667,42.6,3.6210000000000004,466,1687.3860000000002,20/8/2020,96.2,,,1416.6666666666667,43.4,3.689,680,2508.52,20/8/2020,96.2,,,1416.6666666666667,43.4,3.689,683,2519.587,20/8/2020,96.2,,,1416.6666666666667,43.4,3.689,660,2434.7400000000002,,,,,
Sấy phun 2,,1.3,2/12/2019,87.1,,,1416.6666666666667,43,3.6550000000000002,400,1462,2/12/2019,87.1,,,1416.6666666666667,43,3.6550000000000002,424,1549.72,2/12/2019,87.1,,,1416.6666666666667,43,3.6550000000000002,654,2390.3700000000003,3/4/2020,71.9,,,1416.6666666666667,48.9,4.1565,475,1974.3375,3/4/2020,71.9,,,1416.6666666666667,48.9,4.1565,499.7,2077.0030500000003,8/6/2020,94.1,,,1416.6666666666667,43.7,3.7145000000000006,513.6,1907.7672000000005,8/6/2020,94.1,,,1416.6666666666667,43.7,3.7145000000000006,611,2269.5595000000003,8/6/2020,94.1,,,1416.6666666666667,43.7,3.7145000000000006,531,1972.3995000000002,8/6/2020,94.1,,,1416.6666666666667,43.7,3.7145000000000006,621,2306.7045000000003,20/8/2020,95.1,,,1416.6666666666667,42.3,3.5955,200,719.1,20/8/2020,95.1,,,1416.6666666666667,42.3,3.5955,360,1294.3799999999999,20/8/2020,95.1,,,1416.6666666666667,42.3,3.5955,436,1567.638,,,,,
"Ống khói lò nung xương 1,2",,0.8,2/12/2019,153.2,,,173.33333333333334,52,0.5408,384,207.66719999999998,2/12/2019,153.2,,,173.33333333333334,52,0.5408,328,177.3824,2/12/2019,153.2,,,173.33333333333334,52,0.5408,744,402.35519999999997,3/4/2020,130,,,181.66666666666666,49.3,0.53737,720,386.9064,3/4/2020,130,,,181.66666666666666,49.3,0.53737,744,399.80328000000003,8/6/2020,119.3,,,181.66666666666666,44.8,0.4883199999999999,720,351.59039999999993,8/6/2020,119.3,,,181.66666666666666,44.8,0.4883199999999999,744,363.3100799999999,8/6/2020,119.3,,,181.66666666666666,44.8,0.4883199999999999,744,363.3100799999999,8/6/2020,119.3,,,181.66666666666666,44.8,0.4883199999999999,720,351.59039999999993,20/8/2020,121.5,,,154,45.1,0.41672400000000004,744,310.042656,20/8/2020,121.5,,,154,45.1,0.41672400000000004,720,300.04128000000003,20/8/2020,121.5,,,154,45.1,0.41672400000000004,744,310.042656,,,,,
"Ống khói lò nung xương 3,4",,0.8,2/12/2019,159.1,,,188.33333333333334,53,0.5989000000000001,416,249.14240000000004,2/12/2019,159.1,,,188.33333333333334,53,0.5989000000000001,448,268.3072,2/12/2019,159.1,,,188.33333333333334,53,0.5989000000000001,744,445.5816000000001,3/4/2020,120.1,,,186.66666666666666,53.2,0.59584,720,429.00480000000005,3/4/2020,120.1,,,186.66666666666666,53.2,0.59584,744,443.30496000000005,8/6/2020,120.6,,,186.66666666666666,41.3,0.4625599999999999,720,333.04319999999996,8/6/2020,120.6,,,186.66666666666666,41.3,0.4625599999999999,744,344.1446399999999,8/6/2020,120.6,,,186.66666666666666,41.3,0.4625599999999999,744,344.1446399999999,8/6/2020,120.6,,,186.66666666666666,41.3,0.4625599999999999,720,333.04319999999996,20/8/2020,122.7,,,158.33333333333334,42.6,0.40470000000000006,744,301.09680000000003,20/8/2020,122.7,,,158.33333333333334,42.6,0.40470000000000006,720,291.384,20/8/2020,122.7,,,158.33333333333334,42.6,0.40470000000000006,744,301.09680000000003,,,,,
"Ống khói lò nung xương 5,6",,0.8,2/12/2019,146.5,,,175.5,50,0.5265,424,223.236,2/12/2019,146.5,,,175.5,50,0.5265,0,0,2/12/2019,146.5,,,175.5,50,0.5265,624,328.536,3/4/2020,145.9,,,175,47.7,0.50085,720,360.612,3/4/2020,145.9,,,175,47.7,0.50085,744,372.6324,8/6/2020,117.5,,,175,46.5,0.48825,720,351.54,8/6/2020,117.5,,,175,46.5,0.48825,744,363.25800000000004,8/6/2020,117.5,,,175,46.5,0.48825,744,363.25800000000004,8/6/2020,117.5,,,175,46.5,0.48825,720,351.54,20/8/2020,118.6,,,194.16666666666666,43.9,0.511435,744,380.50764,20/8/2020,118.6,,,194.16666666666666,43.9,0.511435,720,368.23319999999995,20/8/2020,118.6,,,194.16666666666666,43.9,0.511435,744,380.50764,,,,,
Ống khói lò nung men số 1,,0.8,29/9/2019,157.3,,,168.66666666666666,51,0.51612,384,198.19008000000002,29/9/2019,157.3,,,168.66666666666666,51,0.51612,328,169.28736,29/9/2019,157.3,,,168.66666666666666,51,0.51612,744,383.99328,3/4/2020,152.3,,,178.33333333333334,54.6,0.58422,720,420.6384,3/4/2020,152.3,,,178.33333333333334,54.6,0.58422,744,434.65968,8/6/2020,125.8,,,178.33333333333334,43.7,0.46759000000000006,720,336.66480000000007,8/6/2020,125.8,,,178.33333333333334,43.7,0.46759000000000006,744,347.88696000000004,8/6/2020,125.8,,,178.33333333333334,43.7,0.46759000000000006,744,347.88696000000004,8/6/2020,125.8,,,178.33333333333334,43.7,0.46759000000000006,720,336.66480000000007,8/6/2020,125.8,,,178.33333333333334,43.7,0.46759000000000006,744,347.88696000000004,8/6/2020,125.8,,,178.33333333333334,43.7,0.46759000000000006,720,336.66480000000007,8/6/2020,125.8,,,178.33333333333334,43.7,0.46759000000000006,744,347.88696000000004,,,,,
Ống khói lò nung men số 2,,0.8,29/9/2019,124.3,,,141.5,52,0.44148,384,169.52832,29/9/2019,124.3,,,141.5,52,0.44148,328,144.80544,29/9/2019,124.3,,,141.5,52,0.44148,744,328.46112,3/4/2020,149.5,,,186.66666666666666,48.5,0.5431999999999999,720,391.1039999999999,3/4/2020,149.5,,,186.66666666666666,48.5,0.5431999999999999,744,404.14079999999996,8/6/2020,105.7,,,186.66666666666666,48.6,0.54432,720,391.91040000000004,8/6/2020,105.7,,,186.66666666666666,48.6,0.54432,744,404.97408,8/6/2020,105.7,,,186.66666666666666,48.6,0.54432,744,404.97408,8/6/2020,105.7,,,186.66666666666666,48.6,0.54432,720,391.91040000000004,20/8/2020,124.7,,,155.66666666666666,44.2,0.412828,744,307.144032,20/8/2020,124.7,,,155.66666666666666,44.2,0.412828,720,297.23616,20/8/2020,124.7,,,155.66666666666666,44.2,0.412828,744,307.144032,,,,,
